repo_name,category,file_path,line_number,keyword,debt_type,sdlc_phase,line_content,debt_category,severity,rationale,is_false_positive,original_index
pygments/pygments,Non-ML Control,tests/test_basic_api.py,382,BUG,Defect Debt,P3_Model_Development,assert 'BUG' == tokens[1][1],Test Debt,3,"The test is asserting a hardcoded string 'BUG' which may not be a valid test case, indicating a potential issue with the test itself.",False,34
jupyterlab/jupyterlab,Non-ML Control,docs/source/conf.py,131,NOQA,Test Debt,P3_Model_Development,"check_call([*jlpm, ""build:packages""], cwd=str(root))  # noqa S603",Code Debt,3,The use of noqa comment is a code debt as it may lead to inconsistent code formatting and make the codebase harder to maintain.,False,35
MagicStack/uvloop,Non-ML Control,uvloop/_testbase.py,169,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile() as tmp:,Code Debt,3,"The use of tempfile.NamedTemporaryFile() may not be suitable for production environments, and could potentially lead to issues with temporary file management.",False,36
saltstack/salt,Non-ML Control,salt/master.py,372,TEMP,Design Debt,P3_Model_Development,# Write a temporary file securely,Code Debt,3,The use of a temporary file in a production environment may lead to security vulnerabilities if not handled properly.,False,37
pytest-dev/pytest,Non-ML Control,testing/test_assertrewrite.py,418,NOQA,Test Debt,P3_Model_Development,assert cls == 42  # type: ignore[name-defined]  # noqa: F821,Code Debt,3,The use of a hardcoded value (42) and ignoring type checking suggests a lack of attention to code quality and maintainability.,False,38
celery/celery,Non-ML Control,celery/canvas.py,1099,XXX,Design Debt,P3_Model_Development,#   XXX chord is also a class in outer scope.,Code Debt,3,"The comment suggests that there is a naming conflict between a local variable and a class in the outer scope, indicating a potential code organization issue.",False,39
pallets/flask,Non-ML Control,src/flask/cli.py,810,NOQA,Test Debt,P3_Model_Development,import cryptography  # noqa: F401,Code Debt,2,"The import statement is commented out, indicating unused code, which can lead to technical debt and maintenance issues.",False,40
psf/requests,Non-ML Control,src/requests/utils.py,742,XXX,Design Debt,P3_Model_Development,"""""""Converts mask from /xx format to xxx.xxx.xxx.xxx",Code Debt,3,"The function name and comment suggest a specific requirement, but the code itself does not follow standard IP address formatting conventions.",False,41
pydantic/pydantic,Non-ML Control,pydantic/fields.py,460,HACK,Design Debt,P3_Model_Development,prepend_metadata = from_field.metadata  # Unnecessary when we remove HACK 1.,Code Debt,3,"The code is unnecessary and can be removed, indicating a lack of refactoring or cleanup in the codebase.",False,42
django/django,Non-ML Control,django/db/utils.py,8,NOQA,Test Debt,P3_Model_Development,from django.utils.connection import ConnectionDoesNotExist  # NOQA: F401,Code Debt,2,"The import statement is commented out, indicating a potential unused import or a deliberate exclusion, which may require further review.",False,43
pytest-dev/pytest,Non-ML Control,testing/test_pathlib.py,799,XXX,Design Debt,P3_Model_Development,"assert sorted(modules) == [""xxx"", ""xxx.tests"", ""xxx.tests.foo""]",Test Debt,3,"The test is asserting a specific sorted order of modules, which may not be the expected behavior in all scenarios.",False,44
astral-sh/ruff,Non-ML Control,python/ruff-ecosystem/ruff_ecosystem/markdown.py,25,TODO,Requirement Debt,P3_Model_Development,# TODO(zanieb): GitHub does not support coloring with <span> it seems like the only,Documentation Debt,2,"The TODO comment indicates a need for documentation on how to achieve coloring in markdown, which is not supported by GitHub.",False,45
MagicStack/uvloop,Non-ML Control,tests/test_udp.py,81,XXX,Design Debt,P3_Model_Development,transport.sendto(b'xxx'),Code Debt,3,The use of XXX in the transport.sendto method is hardcoded and lacks flexibility.,False,46
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/handlers/announcements.py,43,NOQA,Test Debt,P3_Model_Development,createdAt: float  # noqa,Code Debt,3,"The use of the NOQA comment suggests a potential coding standard deviation, indicating a need for code refactoring.",False,47
pytest-dev/pytest,Non-ML Control,testing/test_mark.py,260,TEMP,Design Debt,P3_Model_Development,"(""car(temp=4) and car(temp=5)"", []),",Test Debt,3,"The test case is using a temporary or placeholder value (TEMP) for the car temperature, which may not accurately represent real-world scenarios.",False,48
python/mypy,Non-ML Control,mypy/binder.py,608,TEMP,Design Debt,P3_Model_Development,"If discard is True, then this is a temporary throw-away frame",Code Debt,3,The use of a temporary flag 'discard' indicates a potential code smell and may lead to future maintenance issues.,False,49
sphinx-doc/sphinx,Non-ML Control,sphinx/addnodes.py,130,TODO,Requirement Debt,P3_Model_Development,# TODO: can we introduce a constructor,Code Debt,3,"The TODO comment suggests a potential improvement to the class's constructor, indicating a need for refactoring.",False,50
amoffat/sh,Non-ML Control,sh.py,1231,TODO,Requirement Debt,P3_Model_Development,"# TODO write some docs on ""long-running processes""",Documentation Debt,3,"The TODO comment indicates a lack of documentation for a specific feature, which can lead to confusion and decreased maintainability.",False,51
readthedocs/readthedocs.org,Non-ML Control,readthedocs/analytics/proxied_api.py,61,TODO,Requirement Debt,P3_Model_Development,"# TODO: Use absolute_uri only, we don't need project and version.",Code Debt,2,The TODO comment suggests a refactoring opportunity to simplify the code by removing unnecessary parameters.,False,52
davidhalter/jedi,Non-ML Control,docs/conf.py,264,TODO,Requirement Debt,P3_Model_Development,# -- Options for todo module ---------------------------------------------------,Documentation Debt,2,The TODO comment in the docs/conf.py file indicates a need for documentation on the todo module options.,False,53
readthedocs/readthedocs.org,Non-ML Control,readthedocs/audit/models.py,255,TEMP,Design Debt,P3_Model_Development,"""TemporaryAccessPasswordBackend"": _(""shared password""),",Code Debt,3,"The use of a temporary access password backend is hardcoded and lacks a clear plan for removal, indicating a lack of refactoring or proper design consideration.",False,54
celery/celery,Non-ML Control,celery/canvas.py,2097,XXX,Design Debt,P3_Model_Development,#   XXX chord is also a class in outer scope.,Code Debt,3,"The comment suggests that there is a naming conflict between a local variable and an outer scope class, indicating a potential code organization issue.",False,55
python/mypy,Non-ML Control,mypy/build.py,3188,TEMP,Design Debt,P3_Model_Development,"def parse_file(self, *, temporary: bool = False, raw_data: FileRawData | None = None) -> None:",Code Debt,2,"The use of the keyword 'TEMP' in the function parameter name suggests a temporary or workaround solution, indicating potential code debt.",False,56
psf/requests,Non-ML Control,docs/conf.py,114,TODO,Requirement Debt,P3_Model_Development,"# If true, `todo` and `todoList` produce output, else they produce nothing.",Documentation Debt,2,"The TODO comment indicates a potential documentation issue, but its impact is relatively low as it's related to output production.",False,57
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/extensions/pypi.py,374,BUG,Defect Debt,P3_Model_Development,"bug_tracker_url = data.get(""bugtrack_url"") or package_urls.get(""Bug Tracker"")",Code Debt,3,The code is using a potentially fragile conditional statement to handle missing values.,False,58
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/commands.py,700,TEMP,Design Debt,P3_Model_Development,# Install the package using a temporary directory.,Code Debt,2,The use of a temporary directory for package installation may lead to code complexity and potential issues with reproducibility.,False,59
pygments/pygments,Non-ML Control,scripts/update_contrasts.py,18,NOQA,Test Debt,P3_Model_Development,import tests.contrast.test_contrasts # noqa: E402,Code Debt,3,"The import statement is violating the E402 error, indicating a potential issue with import ordering.",False,60
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/browser_check.py,169,NOQA,Test Debt,P3_Model_Development,"subprocess.call([""npm"", ""init"", ""-y""], cwd=target)  # noqa S603 S607",Code Debt,3,"The use of subprocess.call is deprecated and may lead to security vulnerabilities, and the comment suggests that the code is intentionally ignoring PEP 8 style guidelines for this line.",False,61
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/handlers/announcements.py,45,NOQA,Test Debt,P3_Model_Development,modifiedAt: float  # noqa,Code Debt,3,"The use of the NOQA comment suggests a potential code smell or a deliberate choice to ignore a PEP 8 convention, indicating a need for code review or refactoring.",False,62
pygments/pygments,Non-ML Control,tests/test_groff_formatter.py,17,FIXME,Defect Debt,P3_Model_Development,# FIXME: more thorough tests,Test Debt,3,The FIXME comment indicates a need for more thorough tests to ensure the code's quality and reliability.,False,63
saltstack/salt,Non-ML Control,salt/_logging/impl.py,481,TEMP,Design Debt,P3_Model_Development,Get the temporary deferred stream handler,Code Debt,3,"The use of a temporary deferred stream handler may indicate a workaround for a more complex logging requirement, suggesting a potential code debt.",False,64
pytest-dev/pytest,Non-ML Control,testing/test_capture.py,1255,XXX,Design Debt,P3_Model_Development,"print(""XXX which indicates an error in the underlying capturing"")",Code Debt,3,"The presence of a hardcoded string 'XXX' in the code indicates a potential issue with the underlying capturing mechanism, suggesting a need for refactoring or improvement.",False,65
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/galata/__init__.py,7,TEMP,Design Debt,P3_Model_Development,"from tempfile import NamedTemporaryFile, mkdtemp",Code Debt,3,"The use of TEMP keyword in the comment suggests a temporary solution, which may not be properly refactored or cleaned up, leading to technical debt.",False,66
pydantic/pydantic,Non-ML Control,pydantic/fields.py,450,HACK,Design Debt,P3_Model_Development,default_copy = default._copy()  # Copy unnecessary when we remove HACK 1.,Code Debt,3,"The code is copying an object unnecessarily, which can be optimized away once the HACK is removed.",False,67
celery/celery,Non-ML Control,celery/app/base.py,46,NOQA,Test Debt,P3_Model_Development,"from . import backends, builtins  # noqa",Code Debt,3,"The noqa comment is used to suppress a warning, indicating a potential code smell or a deliberate choice to ignore a best practice.",False,68
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/commands.py,701,TEMP,Design Debt,P3_Model_Development,with TemporaryDirectory() as tempdir:,Code Debt,3,"The use of TEMP keyword and TemporaryDirectory() suggests a temporary or workaround solution, indicating potential code debt.",False,69
celery/celery,Non-ML Control,celery/apps/beat.py,50,XXX,Design Debt,P3_Model_Development,"scheduler_cls: str | None = None,  # XXX use scheduler",Code Debt,3,The use of a string type for the scheduler_cls parameter may lead to type-related bugs or errors.,False,70
django/django,Non-ML Control,django/forms/__init__.py,7,NOQA,Test Debt,P3_Model_Development,from django.forms.fields import *  # NOQA,Code Debt,3,Importing all fields from django.forms.fields can lead to namespace pollution and make the code harder to maintain.,False,71
saltstack/salt,Non-ML Control,salt/crypt.py,551,XXX,Design Debt,P3_Model_Development,# XXX,Code Debt,3,"The presence of a comment with a placeholder keyword 'XXX' indicates a potential code debt, where a specific implementation detail is being temporarily bypassed or left to be addressed later.",False,72
aio-libs/aiohttp,Non-ML Control,aiohttp/web_request.py,809,TEMP,Design Debt,P3_Model_Development,# NOTE: `tempfile.Temporaryfile`-created `_io.BufferedRandom`,Code Debt,3,The use of `tempfile.Temporaryfile`-created `_io.BufferedRandom` is not clearly documented and may lead to confusion.,False,73
jupyter/notebook,Non-ML Control,docs/source/conf.py,161,TODO,Requirement Debt,P3_Model_Development,"# If true, `todo` and `todoList` produce output, else they produce nothing.",Documentation Debt,2,"The TODO comment is not related to the code functionality but rather to documentation, indicating a potential documentation debt.",False,74
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/serverextension.py,9,NOQA,Test Debt,P3_Model_Development,from .labapp import LabApp  # noqa: PLC0415,Code Debt,3,"The comment # noqa: PLC0415 is used to suppress a linter warning, indicating a potential code debt issue.",False,75
keleshev/schema,Non-ML Control,test_schema.py,724,FIXME,Defect Debt,P3_Model_Development,# FIXME given tests enough,Test Debt,2,"The FIXME comment suggests that the test coverage is not sufficient, indicating a potential test debt issue.",False,76
readthedocs/readthedocs.org,Non-ML Control,readthedocs/aws/security_token_service.py,170,TEMP,Design Debt,P3_Model_Development,# Inline policy document to limit the permissions of the temporary credentials.,Code Debt,2,The use of a temporary inline policy document may lead to code duplication and maintenance issues.,False,77
python/mypy,Non-ML Control,mypy/checkpattern.py,589,TODO,Requirement Debt,P3_Model_Development,# TODO: Do I need this?,Code Debt,2,"The TODO comment suggests a potential code redundancy or unnecessary complexity, indicating a need for code refactoring.",False,78
pytest-dev/pytest,Non-ML Control,testing/test_pathlib.py,873,XXX,Design Debt,P3_Model_Development,"assert sorted(modules) == [""xxx"", ""xxx.tests"", ""xxx.tests.foo""]",Test Debt,3,"The test is asserting a specific sorted order of modules, which may not be the expected behavior in all scenarios.",False,79
python/mypy,Non-ML Control,mypy/erasetype.py,59,TODO,Requirement Debt,P3_Model_Development,# TODO: replace with an assert after UnboundType can't leak from semantic analysis.,Code Debt,3,"The TODO comment suggests a temporary fix that may not be ideal, indicating a need for refactoring.",False,80
pallets/flask,Non-ML Control,src/flask/typing.py,7,NOQA,Test Debt,P3_Model_Development,from _typeshed.wsgi import WSGIApplication  # noqa: F401,Code Debt,2,"The noqa comment is used to suppress a type checker warning, indicating a potential code debt issue.",False,81
psf/black,Non-ML Control,tests/test_black.py,3078,TEMP,Design Debt,P3_Model_Development,with TemporaryDirectory() as tempdir:,Test Debt,3,"The use of TEMP keyword and TemporaryDirectory() suggests a temporary solution for testing, which may not be ideal for production code.",False,82
python/mypy,Non-ML Control,mypy/constraints.py,1608,TODO,Requirement Debt,P3_Model_Development,# TODO: can we infer something useful for *T vs P?,Code Debt,3,"The TODO comment suggests a potential improvement to the code, but it's not a critical issue, hence medium severity.",False,83
pydantic/pydantic,Non-ML Control,pydantic/json_schema.py,158,BUG,Defect Debt,P3_Model_Development,"for _iter in range(100):  # prevent an infinite loop in the case of a bug, 100 iterations should be enough",Code Debt,3,The use of a hardcoded iteration limit to prevent infinite loops indicates a lack of robustness in error handling.,False,84
python/mypy,Non-ML Control,setup.py,11,NOQA,Test Debt,P4_Build_Packaging,"if sys.version_info < (3, 10, 0):  # noqa: UP036, RUF100",Code Debt,3,"The code is using a deprecated version check with a hardcoded version number, which may not be accurate in the future.",False,85
django/django,Non-ML Control,scripts/manage_translations.py,131,XXX,Design Debt,P3_Model_Development,"local_lang = lang  # XXX: LANG_OVERRIDES.get(lang, lang)",Code Debt,3,The use of a comment to indicate a potential issue suggests that the code may not be following best practices or may be prone to errors.,False,86
saltstack/salt,Non-ML Control,salt/template.py,20,FIXME,Defect Debt,P3_Model_Development,# FIXME: we should make the default encoding of a .sls file a configurable,Configuration Debt,3,"The default encoding of a .sls file is hardcoded and not configurable, which may lead to issues with file compatibility or encoding errors.",False,87
psf/black,Non-ML Control,src/black/cache.py,140,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile(,Code Debt,3,"The use of tempfile.NamedTemporaryFile() may indicate a temporary or workaround solution, potentially leading to technical debt in the long run.",False,88
pytest-dev/pytest,Non-ML Control,testing/test_pathlib.py,872,XXX,Design Debt,P3_Model_Development,"insert_missing_modules(modules, ""xxx.tests.foo"")",Test Debt,3,The use of XXX as a placeholder for a module name suggests a lack of thorough testing or incomplete test coverage.,False,89
sqlalchemy/sqlalchemy,Non-ML Control,tools/generate_proxy_methods.py,55,TEMP,Design Debt,P3_Model_Development,from tempfile import NamedTemporaryFile,Code Debt,3,The use of a temporary file in a non-ML control file suggests a potential code smell or unnecessary complexity.,False,90
pytest-dev/pytest,Non-ML Control,testing/test_doctest.py,736,NOQA,Test Debt,P3_Model_Development,'''  # noqa: RUF001,Code Debt,3,The use of the noqa comment is a code smell indicating potential issues with code organization or adherence to coding standards.,False,91
pallets/flask,Non-ML Control,examples/javascript/js_example/__init__.py,5,NOQA,Test Debt,P3_Model_Development,"from js_example import views  # noqa: E402, F401",Code Debt,3,"The noqa comment is suppressing linting errors, indicating potential code quality issues.",False,92
celery/celery,Non-ML Control,celery/exceptions.py,275,XXX,Design Debt,P3_Model_Development,SystemTerminate = WorkerTerminate  # XXX compat,Code Debt,3,"The code is using a compatibility comment to merge two different exception types, indicating a potential code smell or technical debt.",False,93
sqlalchemy/sqlalchemy,Non-ML Control,tools/generate_sql_functions.py,103,NOQA,Test Debt,P3_Model_Development,def {key}( {'  # noqa: A001' if is_reserved_word else ''},Code Debt,3,"The use of noqa comment suggests a potential code smell or a workaround, indicating a need for refactoring.",False,94
python/mypy,Non-ML Control,mypy/checker.py,5317,XXX,Design Debt,P3_Model_Development,# XXX Issue a warning if condition is always False?,Code Debt,3,"The code is not issuing a warning for a condition that is always False, potentially hiding bugs or unexpected behavior.",False,95
python/mypy,Non-ML Control,mypy/constraints.py,1057,TEMP,Design Debt,P3_Model_Development,"inst, erase_typevars(temp), ignore_pos_arg_names=True",Code Debt,3,"The use of the TEMP keyword and the erase_typevars function may indicate a code smell or a workaround, potentially leading to future maintenance issues.",False,96
MagicStack/uvloop,Non-ML Control,uvloop/__init__.py,8,NOQA,Test Debt,P3_Model_Development,from ._version import __version__  # NOQA,Code Debt,2,"The comment # NOQA is used to suppress a PEP 8 warning, indicating a deviation from the standard coding style.",False,97
python/mypy,Non-ML Control,mypy/constraints.py,1094,TODO,Requirement Debt,P3_Model_Development,# TODO: Erase template variables if it is generic?,Code Debt,3,"The TODO comment suggests a potential issue with template variables in generic types, indicating a need for code refactoring.",False,98
python/mypy,Non-ML Control,misc/cherry-pick-typeshed.py,42,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryDirectory() as d:,Code Debt,3,The use of a temporary directory with tempfile.TemporaryDirectory() suggests a potential code smell or inefficiency in handling temporary resources.,False,99
psf/requests,Non-ML Control,src/requests/utils.py,39,NOQA,Test Debt,P3_Model_Development,from ._internal_utils import (  # noqa: F401,Code Debt,2,"The import statement is commented out, indicating unnecessary code that may cause confusion or maintenance issues.",False,100
saltstack/salt,Non-ML Control,salt/minion.py,4391,TODO,Requirement Debt,P3_Model_Development,# TODO: clean up docs,Documentation Debt,2,The TODO comment indicates a need to improve documentation in the codebase.,False,101
jupyterlab/jupyterlab,Non-ML Control,docs/source/conf.py,557,NOQA,Test Debt,P3_Model_Development,except Exception:  # noqa S110,Code Debt,3,Ignoring potential exceptions without proper handling can lead to unexpected behavior in the code.,False,102
pydantic/pydantic,Non-ML Control,pydantic/main.py,1526,NOQA,Test Debt,P3_Model_Development,"def construct(cls, _fields_set: set[str] | None = None, **values: Any) -> Self:  # noqa: D102",Code Debt,2,The use of noqa comment suggests a potential code smell or a deliberate choice to ignore a specific code style guideline.,False,103
sphinx-doc/sphinx,Non-ML Control,doc/conf.py,347,TODO,Requirement Debt,P3_Model_Development,"(('development', 'tutorials', 'todo.html'), 'extending_build.html'),",Documentation Debt,2,The TODO comment in the doc/conf.py file indicates a need for documentation on extending the build process.,False,104
davidhalter/jedi,Non-ML Control,jedi/inference/analysis.py,81,TODO,Requirement Debt,P3_Model_Development,# TODO this path is probably not right,Code Debt,3,"The code path is likely incorrect, indicating a potential bug or logical error.",False,105
python/mypy,Non-ML Control,mypy/checker.py,889,TODO,Requirement Debt,P3_Model_Development,"# TODO: initializers can infer types if they contain a walrus,",Code Debt,3,"The TODO comment indicates a potential improvement in the code's type inference for initializers, suggesting a code debt related to maintainability and readability.",False,106
pytest-dev/pytest,Non-ML Control,testing/test_assertrewrite.py,656,NOQA,Test Debt,P3_Model_Development,"assert True or explode  # type: ignore[name-defined,unreachable] # noqa: F821",Code Debt,3,The use of a magic comment to ignore type checking and unreachable code detection indicates a lack of attention to code quality and maintainability.,False,107
pypa/build,Non-ML Control,src/build/__main__.py,99,NOQA,Test Debt,P3_Model_Development,"category: type[Warning],  # noqa: ARG001",Code Debt,3,"The use of noqa: ARG001 suggests a deliberate suppression of a warning, potentially indicating a code smell or a workaround.",False,108
