original_index,repo,category,keyword,comment,file_path,is_genuine_satd,debt_category,severity,severity_reason,is_new_category,new_category_name,ml_pipeline_stage,model_used,classified_at
35,,Deep Learning,WORKAROUND,,fastai/torch_core.py,True,Model Stack Workaround Debt,3,The presence of a WORKAROUND comment suggests a workaround for a model stack issue.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:30.263366
36,,Deep Learning,TODO,,fast_neural_style/download_saved_models.py,True,Code Debt,3,The presence of a TODO comment in a code file indicates a potential issue or incomplete implementation.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:34.083972
37,,Deep Learning,TODO,,.actions/assistant.py,True,Code Debt,3,The presence of a TODO comment in a code file indicates a potential issue or improvement needed in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:37.954028
38,,Deep Learning,TODO,,.actions/assistant.py,True,Code Debt,3,The presence of a TODO comment in a code file indicates a potential issue that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:41.803268
39,,Deep Learning,XXX,,.actions/assistant.py,True,Code Debt,3,The presence of XXX in a code file indicates a potential issue or placeholder that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:45.558780
40,,Deep Learning,TEMP,,.actions/assistant.py,True,Code Debt,3,Use of temporary variable suggests potential for code refactoring,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:49.287049
41,,Deep Learning,BUG,,requirements/collect_env_details.py,True,Defect Debt,3,The presence of the keyword 'BUG' in the comment indicates a defect.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:54.010556
42,,Deep Learning,NOQA,,requirements/collect_env_details.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:58.199895
43,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of a deeper issue with code organization and maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:01.096100
44,,Deep Learning,TEMP,,setup.py,True,Configuration Debt,3,Temporary configuration is used in the setup.py file,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:04.846477
45,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of a deeper issue with code organization and maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:08.588761
46,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of a deeper issue with code organization and maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:12.303285
47,,Deep Learning,TODO,,configure.py,True,Code Debt,3,The presence of a TODO comment in a configuration file indicates a potential issue with the code's maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:16.166041
48,,Deep Learning,TODO,,tensorflow/api_template.__init__.py,True,Code Debt,3,The presence of a TODO comment in a code file indicates a potential issue that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:19.904196
49,,Deep Learning,TODO,,tensorflow/api_template.__init__.py,True,Code Debt,3,The presence of a TODO comment in a code file indicates a potential issue that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:24.655545
50,,Deep Learning,TODO,,tensorflow/api_template_v1.__init__.py,True,Code Debt,3,The presence of a TODO comment in a code file indicates a potential issue or improvement needed in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:28.417861
51,,Deep Learning,TODO,,tensorflow/api_template_v1.__init__.py,True,Code Debt,3,The presence of a TODO comment in a code file indicates a potential issue or improvement needed in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:32.250469
52,,Deep Learning,NOQA,,.spin/cmds.py,True,Code Debt,2,The presence of NOQA suggests a potential coding standard deviation.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:36.005459
53,,Deep Learning,TODO,,mypy_plugins/sympy_mypy_plugin.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue or incomplete implementation in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:39.758072
54,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of a deeper issue with code organization and maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:43.499139
55,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary workaround or hack in the codebase,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:47.410254
56,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of quick fixes or workarounds.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:51.129647
57,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of a deeper issue with code organization and maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:54.992403
58,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of a deeper issue with code organization and maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:57:58.714055
59,,Deep Learning,TEMP,,setup.py,True,Code Debt,3,Temporary code is often a sign of a deeper code debt issue.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:02.478002
60,,Deep Learning,XXX,,setup.py,True,Code Debt,3,The presence of XXX in the setup.py file indicates a potential code debt.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:06.250269
61,,Deep Learning,TODO,,test/_test_bazel.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue with testing.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:10.059159
62,,Deep Learning,WORKAROUND,,test/conftest.py,True,Code Debt,3,The presence of a WORKAROUND keyword in a test file indicates a workaround in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:13.869846
63,,Deep Learning,TEMP,,test/conftest.py,True,Code Debt,3,"Temporary code (TEMP) suggests a workaround or quick fix, indicating potential technical debt.",False,,General,llama-3.1-8b-instant,2026-05-09T04:58:17.652822
64,,Deep Learning,HACK,,test/conftest.py,True,Code Debt,3,The presence of the HACK keyword in a test file indicates a potential code debt.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:22.483519
65,,Deep Learning,TODO,,test/conftest.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:26.245178
66,,Deep Learning,TODO,,test/run_test.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue with testing.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:30.048648
67,,Deep Learning,TODO,,test/run_test.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue with testing.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:34.249338
68,,Deep Learning,TODO,,test/run_test.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue with testing.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:38.121353
69,,Deep Learning,NOQA,,test/run_test.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:42.021204
70,,Deep Learning,NOQA,,test/run_test.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:44.809508
71,,Deep Learning,NOQA,,test/run_test.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:48.804825
72,,Deep Learning,NOQA,,test/run_test.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:52.540409
73,,Deep Learning,TODO,,test/run_test.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue with test coverage or test logic.,False,,General,llama-3.1-8b-instant,2026-05-09T04:58:56.464588
74,,Deep Learning,TEMP,,test/run_test.py,True,Code Debt,3,Temporary solution or workaround in the code,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:00.293977
75,,Deep Learning,HACK,,test/run_test.py,True,Code Debt,3,The presence of the HACK keyword in a test file indicates a potential code debt.,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:04.041128
76,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:07.791758
77,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:12.523995
78,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,NOQA comment suggests a potential coding standard or style issue,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:16.273527
79,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,The presence of NOQA suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:19.353066
80,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,Potential code smell due to NOQA comment,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:23.120175
81,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:27.222316
82,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,Ignoring linting rules may lead to inconsistent code quality,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:31.193453
83,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,Ignoring linting rules may lead to inconsistent code quality,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:35.109770
84,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:38.847308
85,,Deep Learning,NOQA,,test/test_ao_sparsity.py,True,Code Debt,2,The presence of NOQA suggests a potential coding standard deviation.,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:42.575005
86,,Deep Learning,NOQA,,test/test_autograd.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:46.494788
87,,Deep Learning,NOQA,,test/test_autograd.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:50.264724
88,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:54.035934
89,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:59:57.778133
90,,Deep Learning,BUG,,test/test_autograd.py,True,Defect Debt,3,The presence of a BUG keyword in the comment indicates a defect in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:02.613971
91,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:06.387411
92,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:10.258388
93,,Deep Learning,TODO,,test/test_autograd.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue with testing.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:14.081919
94,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:17.853882
95,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:22.005357
96,,Deep Learning,TEMP,,test/test_autograd.py,True,Code Debt,3,Temporary workaround or hack in the codebase,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:25.954981
97,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:29.700487
98,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:33.551364
99,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:37.400993
100,,Deep Learning,TEMP,,test/test_autograd.py,True,Code Debt,3,Temporary workaround or hack in the codebase,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:41.187852
101,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's functionality.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:45.063818
102,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue or incomplete implementation.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:48.951012
103,,Deep Learning,BUG,,test/test_autograd.py,True,Defect Debt,3,The presence of a BUG keyword in the comment indicates a defect in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:52.694470
104,,Deep Learning,TEMP,,test/test_autograd.py,True,Code Debt,3,Temporary workaround or hack in the codebase,False,,General,llama-3.1-8b-instant,2026-05-09T05:00:56.540885
105,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:00.270995
106,,Deep Learning,FIXME,,test/test_autograd.py,True,Code Debt,3,The presence of a FIXME comment indicates a potential issue in the code that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:05.272131
107,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:08.040224
108,,Deep Learning,BUG,,test/test_autograd.py,True,Defect Debt,3,The presence of a BUG keyword in the comment indicates a defect in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:12.842441
109,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:16.599502
110,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:20.468561
111,,Deep Learning,NOQA,,test/test_autograd.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:24.487411
112,,Deep Learning,TODO,,test/test_autograd.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code's correctness or maintainability.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:28.416566
113,,Deep Learning,NOQA,,test/test_autograd.py,True,Code Debt,2,The presence of the NOQA keyword suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:32.178897
114,,Deep Learning,NOQA,,test/test_autograd.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:36.228637
115,,Deep Learning,NOQA,,test/test_autograd.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:40.146771
116,,Deep Learning,NOQA,,test/test_autograd_fallback.py,True,Code Debt,3,Ignoring potential code style issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:43.881705
117,,Deep Learning,NOQA,,test/test_binary_ufuncs.py,True,Code Debt,2,Ignoring potential code style issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:47.618704
118,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Test Debt,3,Potential test failure due to TODO comment,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:51.361963
119,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue or incomplete implementation in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:55.291415
120,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue or incomplete implementation in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:01:59.069738
121,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:02.882255
122,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue with the code itself.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:06.624115
123,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue with the code's implementation.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:10.879473
124,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue with the code's implementation.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:14.978995
125,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Test Debt,3,Potential test failure due to TODO comment,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:18.805555
126,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Test Debt,3,The presence of a TODO comment in a test file indicates a potential issue that needs to be addressed.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:22.559193
127,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Test Debt,3,Potential test failure due to unimplemented binary ufunc test,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:26.411090
128,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue or incomplete functionality in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:30.170438
129,,Deep Learning,NOQA,,test/test_binary_ufuncs.py,True,Code Debt,2,Ignoring potential code style issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:33.927994
130,,Deep Learning,NOQA,,test/test_binary_ufuncs.py,True,Code Debt,2,The presence of NOQA suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:37.710500
131,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue or incomplete code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:41.667198
132,,Deep Learning,TODO,,test/test_binary_ufuncs.py,True,Code Debt,3,The presence of a TODO comment indicates a potential issue or incomplete implementation in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:45.517939
133,,Deep Learning,NOQA,,test/test_compile_benchmark_util.py,True,Code Debt,2,Ignoring potential code style issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:49.266731
134,,Deep Learning,TEMP,,test/test_content_store.py,True,Code Debt,3,Temporary workaround or hack in the codebase,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:53.989880
135,,Deep Learning,TEMP,,test/test_content_store.py,True,Code Debt,3,Temporary workaround or hack in the codebase,False,,General,llama-3.1-8b-instant,2026-05-09T05:02:57.712840
136,,Deep Learning,TEMP,,test/test_content_store.py,True,Code Debt,3,Temporary solution or workaround used in the code,False,,General,llama-3.1-8b-instant,2026-05-09T05:03:01.441969
137,,Deep Learning,TODO,,test/test_cpp_extensions_aot.py,True,Code Debt,3,The presence of a TODO comment in a test file indicates a potential issue with the code itself.,False,,General,llama-3.1-8b-instant,2026-05-09T05:03:05.217832
138,,Deep Learning,NOQA,,test/test_cpp_extensions_aot.py,True,Code Debt,2,Ignoring potential code style issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:03:09.001520
139,,Deep Learning,NOQA,,test/test_cpp_extensions_aot.py,True,Code Debt,2,Ignoring potential code style issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:03:12.754474
140,,Deep Learning,WORKAROUND,,test/test_cpp_extensions_jit.py,True,Code Debt,3,The presence of a WORKAROUND comment indicates a temporary fix in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T05:03:16.645007
141,,Deep Learning,TEMP,,test/test_cpp_extensions_jit.py,True,Code Debt,3,Temporary or placeholder code is present in the repository.,False,,General,llama-3.1-8b-instant,2026-05-09T05:03:20.381190
142,,Deep Learning,NOQA,,test/test_cuda.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T05:03:24.238209
