repo_name,category,file_path,line_number,keyword,debt_type,sdlc_phase,line_content
openai/safety-gym,AutoML/RL,safety_gym/envs/engine.py,1168,TODO,Requirement Debt,P3_Model_Development,"# TODO: penalize rotational velocity too, but requires another cost coefficient"
openai/safety-gym,AutoML/RL,safety_gym/envs/mujoco.py,4,HACK,Design Debt,P3_Model_Development,# This file is just to get around a baselines import hack.
openai/safety-gym,AutoML/RL,safety_gym/envs/mujoco.py,9,NOQA,Test Debt,P3_Model_Development,from safety_gym.envs.engine import *  # noqa
openai/safety-gym,AutoML/RL,safety_gym/envs/world.py,29,TODO,Requirement Debt,P3_Model_Development,TODO:
openai/safety-gym,AutoML/RL,safety_gym/envs/world.py,93,TODO,Requirement Debt,P3_Model_Development,# TODO: remove this when mujoco-py fix is merged and a new version is pushed
openai/safety-gym,AutoML/RL,safety_gym/test/test_determinism.py,6,NOQA,Test Debt,P3_Model_Development,import safety_gym  # noqa
openai/safety-gym,AutoML/RL,safety_gym/test/test_envs.py,5,NOQA,Test Debt,P3_Model_Development,import safety_gym.envs  # noqa
google-deepmind/graphcast,Deep Learning,graphcast/deep_typed_graph_net.py,205,TODO,Requirement Debt,P3_Model_Development,# TODO(aelkadi): move to mlp_builder.
google-deepmind/graphcast,Deep Learning,graphcast/dpm_solver_plus_plus_2s.py,132,TODO,Requirement Debt,P3_Model_Development,# TODO(dominicmasters): Figure out if we can merge the two noise sampler
google-deepmind/graphcast,Deep Learning,graphcast/dpm_solver_plus_plus_2s.py,133,HACK,Design Debt,P3_Model_Development,# calls into one to avoid this hack.
google-deepmind/graphcast,Deep Learning,graphcast/grid_mesh_connectivity_test.py,51,TODO,Requirement Debt,P3_Model_Development,# TODO(alvarosg): Add non-smoke test?
google-deepmind/graphcast,Deep Learning,graphcast/grid_mesh_connectivity_test.py,62,TODO,Requirement Debt,P3_Model_Development,# TODO(alvarosg): Add non-smoke test?
google-deepmind/graphcast,Deep Learning,graphcast/mlp.py,21,TODO,Requirement Debt,P3_Model_Development,# TODO(aelkadi): Move the mlp factory here from `deep_typed_graph_net.py`.
google-deepmind/graphcast,Deep Learning,graphcast/rollout.py,76,TODO,Requirement Debt,P3_Model_Development,# TODO(pricei): call device_put_replicated when replicate_to_device==True
google-deepmind/graphcast,Deep Learning,graphcast/rollout.py,172,TODO,Requirement Debt,P3_Model_Development,# TODO(pricei): We are replicating the full forcings for all rollout
google-deepmind/graphcast,Deep Learning,graphcast/rollout.py,389,TODO,Requirement Debt,P3_Model_Development,"# TODO(aelkadi): Pmap `_get_next_inputs` when running under pmap, and"
google-deepmind/graphcast,Deep Learning,graphcast/xarray_jax.py,265,BUG,Defect Debt,P3_Model_Development,"in general, to avoid an xarray bug where it tries (and in our case fails) to"
google-deepmind/graphcast,Deep Learning,graphcast/xarray_jax.py,282,WORKAROUND,Design Debt,P3_Model_Development,# Any existing JAX coords must be dropped and re-added via the workaround
google-deepmind/graphcast,Deep Learning,graphcast/xarray_jax.py,283,BUG,Defect Debt,P3_Model_Development,"# below, since otherwise .assign_coords will trigger an xarray bug where"
google-deepmind/graphcast,Deep Learning,graphcast/xarray_jax_test.py,481,TODO,Requirement Debt,P3_Model_Development,# TODO(matthjw): have pmap automatically broadcast to all devices
Farama-Foundation/Metaworld,AutoML/RL,docs/conf.py,30,TODO,Requirement Debt,P3_Model_Development,"# TODO: Replace metaworld, remove comment and remove this line"
Farama-Foundation/Metaworld,AutoML/RL,metaworld/__init__.py,15,NOQA,Test Debt,P3_Model_Development,# noqa: D104
Farama-Foundation/Metaworld,AutoML/RL,metaworld/sawyer_xyz_env.py,212,TODO,Requirement Debt,P3_Model_Development,# TODO Probably needs to be removed
Farama-Foundation/Metaworld,AutoML/RL,metaworld/envs/sawyer_assembly_peg_v3.py,101,TODO,Requirement Debt,P3_Model_Development,"""""""TODO: Reggie"""""""
amoffat/sh,Non-ML Control,sh.py,686,TODO,Requirement Debt,P3_Model_Development,"# TODO, make pipe None by default and limit the size of the Queue"
amoffat/sh,Non-ML Control,sh.py,1102,WORKAROUND,Design Debt,P3_Model_Development,"_fg is invalid with nearly every other option, see warning and workaround here:"
amoffat/sh,Non-ML Control,sh.py,1231,TODO,Requirement Debt,P3_Model_Development,"# TODO write some docs on ""long-running processes"""
amoffat/sh,Non-ML Control,sh.py,1375,TEMP,Design Debt,P3_Model_Development,special keyword arguments can be temporary baked and additionally be
amoffat/sh,Non-ML Control,sh.py,1451,TODO,Requirement Debt,P3_Model_Development,"# 1.* version.  TODO remove this in 2.0, as ""ok_code"", if specified,"
amoffat/sh,Non-ML Control,sh.py,1974,BUG,Defect Debt,P3_Model_Development,"# closed its in/out/err fds.  this is a bug on OSX (but not linux),"
amoffat/sh,Non-ML Control,sh.py,2127,NOQA,Test Debt,P3_Model_Development,except Exception:  # noqa: E722
amoffat/sh,Non-ML Control,sh.py,2925,NOQA,Test Debt,P3_Model_Development,except:  # noqa: E722
amoffat/sh,Non-ML Control,sh.py,3001,NOQA,Test Debt,P3_Model_Development,return False  # noqa: E731
amoffat/sh,Non-ML Control,sh.py,3004,NOQA,Test Debt,P3_Model_Development,return None  # noqa: E731
amoffat/sh,Non-ML Control,sh.py,3021,NOQA,Test Debt,P3_Model_Development,"return chunk.decode(handler.encoding, decode_errors)  # noqa: E731"
amoffat/sh,Non-ML Control,sh.py,3026,NOQA,Test Debt,P3_Model_Development,return chunk  # noqa: E731
amoffat/sh,Non-ML Control,sh.py,3033,NOQA,Test Debt,P3_Model_Development,return None  # noqa: E731
amoffat/sh,Non-ML Control,sh.py,3203,TODO,Requirement Debt,P3_Model_Development,"# TODO, when we stop supporting 2.6, make this a with context"
amoffat/sh,Non-ML Control,sh.py,3220,TODO,Requirement Debt,P3_Model_Development,"# TODO, when we stop supporting 2.6, make this a with context"
amoffat/sh,Non-ML Control,sh.py,3586,NOQA,Test Debt,P3_Model_Development,"return content.cur_line.endswith(""password: "")  # noqa: E731"
amoffat/sh,Non-ML Control,sh.py,3591,NOQA,Test Debt,P3_Model_Development,return getpass.getpass(prompt=prompt)  # noqa: E731
amoffat/sh,Non-ML Control,sh.py,3596,NOQA,Test Debt,P3_Model_Development,"return password.rstrip(""\n"")  # noqa: E731"
amoffat/sh,Non-ML Control,sh.py,3601,NOQA,Test Debt,P3_Model_Development,return True  # noqa: E731
amoffat/sh,Non-ML Control,sh.py,3627,NOQA,Test Debt,P3_Model_Development,except:  # noqa: E722
amoffat/sh,Non-ML Control,tests/sh_test.py,147,TEMP,Design Debt,P3_Model_Development,"""""""creates a temporary test file that lives on disk, on which we can run"
amoffat/sh,Non-ML Control,tests/sh_test.py,150,TEMP,Design Debt,P3_Model_Development,"py = tempfile.NamedTemporaryFile(prefix=prefix, delete=delete)"
amoffat/sh,Non-ML Control,tests/sh_test.py,512,TEMP,Design Debt,P3_Model_Development,stdin = tempfile.NamedTemporaryFile()
amoffat/sh,Non-ML Control,tests/sh_test.py,613,TEMP,Design Debt,P3_Model_Development,# tempfile.TemporaryFile()s
amoffat/sh,Non-ML Control,tests/sh_test.py,616,TEMP,Design Debt,P3_Model_Development,tmp = [tempfile.TemporaryFile() for i in range(10)]
amoffat/sh,Non-ML Control,tests/sh_test.py,641,TEMP,Design Debt,P3_Model_Development,# tempfile.TemporaryFile()s
amoffat/sh,Non-ML Control,tests/sh_test.py,644,TEMP,Design Debt,P3_Model_Development,tmp = [tempfile.TemporaryFile() for i in range(10)]
amoffat/sh,Non-ML Control,tests/sh_test.py,667,TEMP,Design Debt,P3_Model_Development,# tempfile.TemporaryFile()s
amoffat/sh,Non-ML Control,tests/sh_test.py,670,TEMP,Design Debt,P3_Model_Development,tmp = [tempfile.TemporaryFile() for i in range(10)]
amoffat/sh,Non-ML Control,tests/sh_test.py,709,XXX,Design Debt,P3_Model_Development,"self.assertRaises(exc, ls, _env=""XXX"")"
amoffat/sh,Non-ML Control,tests/sh_test.py,767,NOQA,Test Debt,P3_Model_Development,from sh import aowjgoawjoeijaowjellll  # noqa: F401
amoffat/sh,Non-ML Control,tests/sh_test.py,836,NOQA,Test Debt,P3_Model_Development,"num_args = int(python(py.name, l=""one two three""))  # noqa: E741"
amoffat/sh,Non-ML Control,tests/sh_test.py,1048,NOQA,Test Debt,P3_Model_Development,"c1 = int(wc(l=True, _in=ls(""-A1"", THIS_DIR, _return_cmd=True)))  # noqa: E741"
amoffat/sh,Non-ML Control,tests/sh_test.py,1210,TEMP,Design Debt,P3_Model_Development,file_obj = tempfile.NamedTemporaryFile()
amoffat/sh,Non-ML Control,tests/sh_test.py,1222,TEMP,Design Debt,P3_Model_Development,file_obj = tempfile.NamedTemporaryFile()
amoffat/sh,Non-ML Control,tests/sh_test.py,1245,TEMP,Design Debt,P3_Model_Development,file_obj = tempfile.NamedTemporaryFile()
